Asiento|CodigoCuenta|CargoAbono|CifDni|Nombre|ImporteAsiento|Factura|Ejercicio|FechaAsiento|FechaFactura|Comentario|BaseIva1|CuotaIva1|ImporteFactura|TipoFactura|PorIva1|Periodo|ejercicioOriginal|serieOriginal|numeroFacOriginal
1|430002134|D|Q2866012D|COLEGIO OFICIAL DE ENFERMERIA DE MADRID|-2.93|1|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 1/25|-2.42|-.51|-2.93|E|21|11|2025|FAC|3702
1|477000000|H|||-.51||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 1/25||||||11|||
1|705000000|H|||-2.42||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 1/25||||||11|||
1|430000365|D|B82334319|INSTITUTO DE EMPRESA S.L|219.06|1|2025|30/11/2025|30/11/2025|N/Factura Num. SUST 1/25|181.04|38.02|219.06|E|21|11|2025|FAC|3734
1|477000000|H|||38.02||2025|30/11/2025|30/11/2025|N/Factura Num. SUST 1/25||||||11|||
1|705000000|H|||181.04||2025|30/11/2025|30/11/2025|N/Factura Num. SUST 1/25||||||11|||
2|430001260|D|B82101775|CONTROLTECNICA EQUIPOS Y PROYECTOS, S.L.|-72.67|2|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 2/25|-60.06|-12.61|-72.67|E|21|11|2025|FAC|3705
2|477000000|H|||-12.61||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 2/25||||||11|||
2|705000000|H|||-60.06||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 2/25||||||11|||
2|430002387|D|B88018098|INDRA SOLUCIONES TECNOLOGIAS DE LA INFORMACION, S.L.|395.82|2|2025|30/11/2025|30/11/2025|N/Factura Num. SUST 2/25|327.12|68.70|395.82|E|21|11|2025|FAC|3843
2|477000000|H|||68.70||2025|30/11/2025|30/11/2025|N/Factura Num. SUST 2/25||||||11|||
2|705000000|H|||327.12||2025|30/11/2025|30/11/2025|N/Factura Num. SUST 2/25||||||11|||
3|430000093|D|B60888989|INICIATIVAS SEDOX, S.L. GRUPO DISBESA|134.77|3|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 3/25|111.38|23.39|134.77|E|21|11|2025|FAC|3731
3|477000000|H|||23.39||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 3/25||||||11|||
3|705000000|H|||111.38||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 3/25||||||11|||
4|430002694|D|B82620345|SACYR INDUSTRIAL OPERACIÓN Y MANTENIMIENTO, S.L.|-24.20|4|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 4/25|-20.00|-4.20|-24.20|E|21|11|2025|FAC|3782
4|477000000|H|||-4.20||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 4/25||||||11|||
4|705000000|H|||-20.00||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 4/25||||||11|||
5|430002376|D|B72255102|AGUAS DEL VALLE DEL GUADIARO S.L.|-24.20|5|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 5/25|-20.00|-4.20|-24.20|E|21|11|2025|FAC|3680
5|477000000|H|||-4.20||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 5/25||||||11|||
5|705000000|H|||-20.00||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 5/25||||||11|||
6|430002795|D|U16705311|Tecman Servicios De Valor Añadido Sl Sacyr Conservacion Sa Ute Sacyrtec|-24.20|6|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 6/25|-20.00|-4.20|-24.20|E|21|11|2025|FAC|3797
6|477000000|H|||-4.20||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 6/25||||||11|||
6|705000000|H|||-20.00||2025|30/11/2025|30/11/2025|N/Factura Num. RECT 6/25||||||11|||
7|430002741|D|A28131571|TOTALENERGIES MARKETING ESPAÑA, S.A.U.|248.10|7|2025|30/11/2025|30/11/2025|N/Factura Num. RECT 7/25|205.04|43.06|248.10|E|21|11|2025|FAC|3803
