Asiento|CodigoCuenta|CargoAbono|ImporteAsiento|Ejercicio|FechaAsiento|Comentario|Periodo
1|438000014|D|69.85|2025|31/01/2025|Fra. Correos: Q250003487|1
1|440000000|H|69.85|2025|31/01/2025|Fra. Correos: Q250003487|1
2|438000019|D|17.96|2025|31/01/2025|Fra. Correos: Q250003457|1
2|440000000|H|17.96|2025|31/01/2025|Fra. Correos: Q250003457|1
3|438000026|D|104.35|2025|31/01/2025|Fra. Correos: Q250003573|1
3|440000000|H|104.35|2025|31/01/2025|Fra. Correos: Q250003573|1
4|438000037|D|1.85|2025|31/01/2025|Fra. Correos: Q250003490|1
4|440000000|H|1.85|2025|31/01/2025|Fra. Correos: Q250003490|1
5|438000040|D|243.95|2025|31/01/2025|Fra. Correos: Q250005700|1
5|440000000|H|243.95|2025|31/01/2025|Fra. Correos: Q250005700|1
6|438000041|D|428.55|2025|31/01/2025|Fra. Correos: Q250003393|1
6|440000000|H|428.55|2025|31/01/2025|Fra. Correos: Q250003393|1
7|438000049|D|60.10|2025|31/01/2025|Fra. Correos: Q250003378|1
7|440000000|H|60.10|2025|31/01/2025|Fra. Correos: Q250003378|1
8|438000050|D|2976.37|2025|31/01/2025|Fra. Correos: Q250003359|1
8|440000000|H|2976.37|2025|31/01/2025|Fra. Correos: Q250003359|1
9|438000052|D|254.88|2025|31/01/2025|Fra. Correos: Q250003466|1
9|440000000|H|254.88|2025|31/01/2025|Fra. Correos: Q250003466|1
10|438000072|D|38.53|2025|31/01/2025|Fra. Correos: Q250003344|1
10|440000000|H|38.53|2025|31/01/2025|Fra. Correos: Q250003344|1
11|438000085|D|131.35|2025|31/01/2025|Fra. Correos: Q250003404|1
11|440000000|H|131.35|2025|31/01/2025|Fra. Correos: Q250003404|1
12|438000087|D|19.45|2025|31/01/2025|Fra. Correos: Q250003405|1
12|440000000|H|19.45|2025|31/01/2025|Fra. Correos: Q250003405|1
13|438000092|D|14.94|2025|31/01/2025|Fra. Correos: Q250003369|1
13|440000000|H|14.94|2025|31/01/2025|Fra. Correos: Q250003369|1
14|438000093|D|508.00|2025|31/01/2025|Fra. Correos: Q250005846|1
14|440000000|H|508.00|2025|31/01/2025|Fra. Correos: Q250005846|1
15|438000093|D|29.18|2025|31/01/2025|Fra. Correos: Q250003410|1
15|440000000|H|29.18|2025|31/01/2025|Fra. Correos: Q250003410|1
16|438000093|D|-29.18|2025|31/01/2025|Fra. Correos: K250000160|1
16|440000000|H|-29.18|2025|31/01/2025|Fra. Correos: K250000160|1
17|438000118|D|1.03|2025|31/01/2025|Fra. Correos: Q250003361|1
17|440000000|H|1.03|2025|31/01/2025|Fra. Correos: Q250003361|1
18|438000129|D|3499.22|2025|31/01/2025|Fra. Correos: Q250003406|1
18|440000000|H|3499.22|2025|31/01/2025|Fra. Correos: Q250003406|1
19|438000130|D|163.56|2025|31/01/2025|Fra. Correos: Q250003581|1
19|440000000|H|163.56|2025|31/01/2025|Fra. Correos: Q250003581|1
20|438000139|D|519.15|2025|31/01/2025|Fra. Correos: Q250003485|1
20|440000000|H|519.15|2025|31/01/2025|Fra. Correos: Q250003485|1
21|438000160|D|15.60|2025|31/01/2025|Fra. Correos: Q250003373|1
21|440000000|H|15.60|2025|31/01/2025|Fra. Correos: Q250003373|1
22|438000177|D|68.51|2025|31/01/2025|Fra. Correos: Q250003379|1
22|440000000|H|68.51|2025|31/01/2025|Fra. Correos: Q250003379|1
23|438000244|D|1.03|2025|31/01/2025|Fra. Correos: Q250003403|1
23|440000000|H|1.03|2025|31/01/2025|Fra. Correos: Q250003403|1
24|438000266|D|7.05|2025|31/01/2025|Fra. Correos: Q250003345|1
24|440000000|H|7.05|2025|31/01/2025|Fra. Correos: Q250003345|1
25|438000280|D|16.34|2025|31/01/2025|Fra. Correos: Q250003396|1
25|440000000|H|16.34|2025|31/01/2025|Fra. Correos: Q250003396|1
26|438000316|D|-374.37|2025|08/01/2025|Fra. Correos: K250000002|1
26|440000000|H|-374.37|2025|08/01/2025|Fra. Correos: K250000002|1
27|438000316|D|363.12|2025|08/01/2025|Fra. Correos: Q250000067|1
27|440000000|H|363.12|2025|08/01/2025|Fra. Correos: Q250000067|1
28|438000316|D|374.37|2025|08/01/2025|Fra. Correos: Q250000056|1
28|440000000|H|374.37|2025|08/01/2025|Fra. Correos: Q250000056|1
29|438000316|D|47.70|2025|31/01/2025|Fra. Correos: Q250003452|1
29|440000000|H|47.70|2025|31/01/2025|Fra. Correos: Q250003452|1
30|438000365|D|374.70|2025|31/01/2025|Fra. Correos: Q250003407|1
30|440000000|H|374.70|2025|31/01/2025|Fra. Correos: Q250003407|1
31|438000386|D|1990.61|2025|31/01/2025|Fra. Correos: Q250003460|1
31|440000000|H|1990.61|2025|31/01/2025|Fra. Correos: Q250003460|1
32|438000393|D|383.05|2025|31/01/2025|Fra. Correos: Q250003470|1
32|440000000|H|383.05|2025|31/01/2025|Fra. Correos: Q250003470|1
33|438000453|D|172.41|2025|31/01/2025|Fra. Correos: Q250003400|1
33|440000000|H|172.41|2025|31/01/2025|Fra. Correos: Q250003400|1
34|438000482|D|69.96|2025|31/01/2025|Fra. Correos: Q250005970|1
34|440000000|H|69.96|2025|31/01/2025|Fra. Correos: Q250005970|1
35|438000482|D|73.06|2025|31/01/2025|Fra. Correos: Q250003454|1
35|440000000|H|73.06|2025|31/01/2025|Fra. Correos: Q250003454|1
36|438000482|D|-73.06|2025|31/01/2025|Fra. Correos: K250000171|1
36|440000000|H|-73.06|2025|31/01/2025|Fra. Correos: K250000171|1
37|438000489|D|13.35|2025|14/01/2025|Fra. Correos: Q250000450|1
37|440000000|H|13.35|2025|14/01/2025|Fra. Correos: Q250000450|1
38|438000489|D|395.52|2025|31/01/2025|Fra. Correos: Q250005822|1
38|440000000|H|395.52|2025|31/01/2025|Fra. Correos: Q250005822|1
39|438000502|D|1.92|2025|31/01/2025|Fra. Correos: Q250003489|1
39|440000000|H|1.92|2025|31/01/2025|Fra. Correos: Q250003489|1
40|438000506|D|146.23|2025|31/01/2025|Fra. Correos: Q250003388|1
40|440000000|H|146.23|2025|31/01/2025|Fra. Correos: Q250003388|1
41|438000543|D|37.89|2025|31/01/2025|Fra. Correos: Q250003580|1
41|440000000|H|37.89|2025|31/01/2025|Fra. Correos: Q250003580|1
42|438000554|D|287.76|2025|31/01/2025|Fra. Correos: Q250005890|1
42|440000000|H|287.76|2025|31/01/2025|Fra. Correos: Q250005890|1
43|438000554|D|20.55|2025|31/01/2025|Fra. Correos: Q250005881|1
43|440000000|H|20.55|2025|31/01/2025|Fra. Correos: Q250005881|1
44|438000554|D|14.60|2025|31/01/2025|Fra. Correos: Q250005844|1
44|440000000|H|14.60|2025|31/01/2025|Fra. Correos: Q250005844|1
45|438000554|D|469.59|2025|31/01/2025|Fra. Correos: Q250005838|1
45|440000000|H|469.59|2025|31/01/2025|Fra. Correos: Q250005838|1
46|438000554|D|163.72|2025|31/01/2025|Fra. Correos: Q250005835|1
46|440000000|H|163.72|2025|31/01/2025|Fra. Correos: Q250005835|1
47|438000554|D|7.50|2025|31/01/2025|Fra. Correos: Q250005834|1
47|440000000|H|7.50|2025|31/01/2025|Fra. Correos: Q250005834|1
48|438000554|D|18.24|2025|31/01/2025|Fra. Correos: Q250005833|1
48|440000000|H|18.24|2025|31/01/2025|Fra. Correos: Q250005833|1
49|438000554|D|7.07|2025|31/01/2025|Fra. Correos: Q250005832|1
49|440000000|H|7.07|2025|31/01/2025|Fra. Correos: Q250005832|1
50|438000554|D|236.27|2025|31/01/2025|Fra. Correos: Q250005827|1
50|440000000|H|236.27|2025|31/01/2025|Fra. Correos: Q250005827|1
51|438000554|D|11.86|2025|31/01/2025|Fra. Correos: Q250005826|1
51|440000000|H|11.86|2025|31/01/2025|Fra. Correos: Q250005826|1
52|438000554|D|.89|2025|31/01/2025|Fra. Correos: Q250005825|1
52|440000000|H|.89|2025|31/01/2025|Fra. Correos: Q250005825|1
53|438000555|D|1.78|2025|31/01/2025|Fra. Correos: Q250003363|1
53|440000000|H|1.78|2025|31/01/2025|Fra. Correos: Q250003363|1
54|438000621|D|360.00|2025|31/01/2025|Fra. Correos: Q250005830|1
54|440000000|H|360.00|2025|31/01/2025|Fra. Correos: Q250005830|1
55|438000730|D|11.15|2025|31/01/2025|Fra. Correos: Q250003472|1
55|440000000|H|11.15|2025|31/01/2025|Fra. Correos: Q250003472|1
56|438000813|D|3.10|2025|31/01/2025|Fra. Correos: Q250005969|1
56|440000000|H|3.10|2025|31/01/2025|Fra. Correos: Q250005969|1
57|438000867|D|796.19|2025|14/01/2025|Fra. Correos: Q250000451|1
57|440000000|H|796.19|2025|14/01/2025|Fra. Correos: Q250000451|1
58|438000867|D|11.10|2025|31/01/2025|Fra. Correos: Q250003402|1
58|440000000|H|11.10|2025|31/01/2025|Fra. Correos: Q250003402|1
59|438000911|D|94.21|2025|31/01/2025|Fra. Correos: Q250003458|1
59|440000000|H|94.21|2025|31/01/2025|Fra. Correos: Q250003458|1
60|438000924|D|84.78|2025|31/01/2025|Fra. Correos: Q250003464|1
60|440000000|H|84.78|2025|31/01/2025|Fra. Correos: Q250003464|1
61|438000935|D|11.70|2025|31/01/2025|Fra. Correos: Q250003372|1
61|440000000|H|11.70|2025|31/01/2025|Fra. Correos: Q250003372|1
62|438000980|D|24.03|2025|31/01/2025|Fra. Correos: Q250003482|1
62|440000000|H|24.03|2025|31/01/2025|Fra. Correos: Q250003482|1
63|438000981|D|1475.34|2025|22/01/2025|Fra. Correos: Q250000816|1
63|440000000|H|1475.34|2025|22/01/2025|Fra. Correos: Q250000816|1
64|438000981|D|517.89|2025|31/01/2025|Fra. Correos: Q250005948|1
64|440000000|H|517.89|2025|31/01/2025|Fra. Correos: Q250005948|1
65|438000981|D|3766.05|2025|31/01/2025|Fra. Correos: Q250005880|1
65|440000000|H|3766.05|2025|31/01/2025|Fra. Correos: Q250005880|1
66|438000981|D|3658.36|2025|31/01/2025|Fra. Correos: Q250005845|1
66|440000000|H|3658.36|2025|31/01/2025|Fra. Correos: Q250005845|1
67|438000981|D|24.92|2025|17/01/2025|Fra. Correos: Q250000728|1
67|440000000|H|24.92|2025|17/01/2025|Fra. Correos: Q250000728|1
68|438000981|D|-3658.36|2025|31/01/2025|Fra. Correos: K250000162|1
68|440000000|H|-3658.36|2025|31/01/2025|Fra. Correos: K250000162|1
69|438000999|D|33.69|2025|31/01/2025|Fra. Correos: Q250003411|1
69|440000000|H|33.69|2025|31/01/2025|Fra. Correos: Q250003411|1
70|438001015|D|6115.19|2025|17/01/2025|Fra. Correos: Q250000730|1
70|440000000|H|6115.19|2025|17/01/2025|Fra. Correos: Q250000730|1
71|438001021|D|200.00|2025|31/01/2025|Fra. Correos: Q250003492|1
71|440000000|H|200.00|2025|31/01/2025|Fra. Correos: Q250003492|1
72|438001085|D|10.71|2025|31/01/2025|Fra. Correos: Q250003519|1
72|440000000|H|10.71|2025|31/01/2025|Fra. Correos: Q250003519|1
73|438001085|D|460.53|2025|31/01/2025|Fra. Correos: Q250003531|1
73|440000000|H|460.53|2025|31/01/2025|Fra. Correos: Q250003531|1
74|438001085|D|813.96|2025|31/01/2025|Fra. Correos: Q250003533|1
74|440000000|H|813.96|2025|31/01/2025|Fra. Correos: Q250003533|1
75|438001085|D|10.71|2025|31/01/2025|Fra. Correos: Q250003506|1
75|440000000|H|10.71|2025|31/01/2025|Fra. Correos: Q250003506|1
76|438001085|D|772.67|2025|31/01/2025|Fra. Correos: Q250003527|1
76|440000000|H|772.67|2025|31/01/2025|Fra. Correos: Q250003527|1
77|438001085|D|6340.46|2025|31/01/2025|Fra. Correos: Q250003498|1
77|440000000|H|6340.46|2025|31/01/2025|Fra. Correos: Q250003498|1
78|438001085|D|21.42|2025|31/01/2025|Fra. Correos: Q250003494|1
78|440000000|H|21.42|2025|31/01/2025|Fra. Correos: Q250003494|1
79|438001085|D|1703.17|2025|31/01/2025|Fra. Correos: Q250003495|1
79|440000000|H|1703.17|2025|31/01/2025|Fra. Correos: Q250003495|1
80|438001085|D|5515.91|2025|31/01/2025|Fra. Correos: Q250005950|1
80|440000000|H|5515.91|2025|31/01/2025|Fra. Correos: Q250005950|1
81|438001085|D|278.53|2025|31/01/2025|Fra. Correos: Q250005949|1
81|440000000|H|278.53|2025|31/01/2025|Fra. Correos: Q250005949|1
82|438001085|D|1863.54|2025|31/01/2025|Fra. Correos: Q250003504|1
82|440000000|H|1863.54|2025|31/01/2025|Fra. Correos: Q250003504|1
83|438001085|D|10.71|2025|31/01/2025|Fra. Correos: Q250003507|1
83|440000000|H|10.71|2025|31/01/2025|Fra. Correos: Q250003507|1
84|438001085|D|161.21|2025|31/01/2025|Fra. Correos: Q250003529|1
84|440000000|H|161.21|2025|31/01/2025|Fra. Correos: Q250003529|1
85|438001085|D|1700.19|2025|31/01/2025|Fra. Correos: Q250003463|1
85|440000000|H|1700.19|2025|31/01/2025|Fra. Correos: Q250003463|1
86|438001085|D|375.41|2025|31/01/2025|Fra. Correos: Q250003515|1
86|440000000|H|375.41|2025|31/01/2025|Fra. Correos: Q250003515|1
87|438001085|D|117.81|2025|31/01/2025|Fra. Correos: Q250003512|1
87|440000000|H|117.81|2025|31/01/2025|Fra. Correos: Q250003512|1
88|438001085|D|10.71|2025|31/01/2025|Fra. Correos: Q250003503|1
88|440000000|H|10.71|2025|31/01/2025|Fra. Correos: Q250003503|1
89|438001085|D|2527.84|2025|31/01/2025|Fra. Correos: Q250003502|1
89|440000000|H|2527.84|2025|31/01/2025|Fra. Correos: Q250003502|1
90|438001085|D|364.42|2025|31/01/2025|Fra. Correos: Q250003500|1
90|440000000|H|364.42|2025|31/01/2025|Fra. Correos: Q250003500|1
91|438001085|D|1531.53|2025|31/01/2025|Fra. Correos: Q250003508|1
91|440000000|H|1531.53|2025|31/01/2025|Fra. Correos: Q250003508|1
92|438001085|D|149.94|2025|31/01/2025|Fra. Correos: Q250003501|1
92|440000000|H|149.94|2025|31/01/2025|Fra. Correos: Q250003501|1
93|438001085|D|10.68|2025|31/01/2025|Fra. Correos: Q250005951|1
93|440000000|H|10.68|2025|31/01/2025|Fra. Correos: Q250005951|1
94|438001085|D|21.42|2025|31/01/2025|Fra. Correos: Q250003521|1
94|440000000|H|21.42|2025|31/01/2025|Fra. Correos: Q250003521|1
95|438001085|D|428.40|2025|31/01/2025|Fra. Correos: Q250003523|1
95|440000000|H|428.40|2025|31/01/2025|Fra. Correos: Q250003523|1
96|438001085|D|1103.13|2025|31/01/2025|Fra. Correos: Q250003522|1
96|440000000|H|1103.13|2025|31/01/2025|Fra. Correos: Q250003522|1
97|438001085|D|64.40|2025|31/01/2025|Fra. Correos: Q250003520|1
97|440000000|H|64.40|2025|31/01/2025|Fra. Correos: Q250003520|1
98|438001085|D|696.15|2025|31/01/2025|Fra. Correos: Q250003516|1
98|440000000|H|696.15|2025|31/01/2025|Fra. Correos: Q250003516|1
99|438001085|D|96.39|2025|31/01/2025|Fra. Correos: Q250003513|1
99|440000000|H|96.39|2025|31/01/2025|Fra. Correos: Q250003513|1
100|438001085|D|632.31|2025|31/01/2025|Fra. Correos: Q250003511|1
100|440000000|H|632.31|2025|31/01/2025|Fra. Correos: Q250003511|1
101|438001085|D|96.39|2025|31/01/2025|Fra. Correos: Q250003505|1
101|440000000|H|96.39|2025|31/01/2025|Fra. Correos: Q250003505|1
102|438001085|D|53.55|2025|31/01/2025|Fra. Correos: Q250003514|1
102|440000000|H|53.55|2025|31/01/2025|Fra. Correos: Q250003514|1
103|438001185|D|10.96|2025|31/01/2025|Fra. Correos: Q250003537|1
103|440000000|H|10.96|2025|31/01/2025|Fra. Correos: Q250003537|1
104|438001193|D|2316.36|2025|31/01/2025|Fra. Correos: Q250005828|1
104|440000000|H|2316.36|2025|31/01/2025|Fra. Correos: Q250005828|1
105|438001193|D|36.19|2025|31/01/2025|Fra. Correos: Q250003560|1
105|440000000|H|36.19|2025|31/01/2025|Fra. Correos: Q250003560|1
106|438001216|D|1.03|2025|31/01/2025|Fra. Correos: Q250003468|1
106|440000000|H|1.03|2025|31/01/2025|Fra. Correos: Q250003468|1
107|438001262|D|25.16|2025|31/01/2025|Fra. Correos: Q250003493|1
107|440000000|H|25.16|2025|31/01/2025|Fra. Correos: Q250003493|1
108|438001264|D|75.30|2025|31/01/2025|Fra. Correos: Q250003389|1
108|440000000|H|75.30|2025|31/01/2025|Fra. Correos: Q250003389|1
109|438001270|D|159.50|2025|14/01/2025|Fra. Correos: Q250000449|1
109|440000000|H|159.50|2025|14/01/2025|Fra. Correos: Q250000449|1
110|438001270|D|98.79|2025|14/01/2025|Fra. Correos: Q250000448|1
110|440000000|H|98.79|2025|14/01/2025|Fra. Correos: Q250000448|1
111|438001270|D|129.94|2025|24/01/2025|Fra. Correos: Q250001088|1
111|440000000|H|129.94|2025|24/01/2025|Fra. Correos: Q250001088|1
112|438001270|D|136.08|2025|24/01/2025|Fra. Correos: Q250001087|1
112|440000000|H|136.08|2025|24/01/2025|Fra. Correos: Q250001087|1
113|438001270|D|70.14|2025|24/01/2025|Fra. Correos: Q250001086|1
113|440000000|H|70.14|2025|24/01/2025|Fra. Correos: Q250001086|1
114|438001270|D|81.25|2025|24/01/2025|Fra. Correos: Q250001085|1
114|440000000|H|81.25|2025|24/01/2025|Fra. Correos: Q250001085|1
115|438001270|D|84.55|2025|21/01/2025|Fra. Correos: Q250000792|1
115|440000000|H|84.55|2025|21/01/2025|Fra. Correos: Q250000792|1
116|438001270|D|164.65|2025|17/01/2025|Fra. Correos: Q250000729|1
116|440000000|H|164.65|2025|17/01/2025|Fra. Correos: Q250000729|1
117|438001270|D|280.10|2025|31/01/2025|Fra. Correos: Q250003391|1
117|440000000|H|280.10|2025|31/01/2025|Fra. Correos: Q250003391|1
